OBJECTID,crossing,Outlet_Water_Depth,Culvert_Shape,Circular?,bankfull_width,county,crossing_type,culvert_count,culvert_material,DRNAREA_SQ_Miles,headwater,Height_rise_P1,Pipe_length_P1,road_path_,scour_pool,scour_pool_depth,scour_pool_length,scour_pool_width,total_span,Width_Span_P1,Constriction_Ratio,x,y,Corrugated Metal?,Culvert_material_Thalweg,Concrete?,Pipe_length_Thalweg,Width_Span_Thalweg,Height_rise_Thalweg,Culvert_Slope,inlet_invert_Thalweg,outlet_invert_Thalweg
368,1212200CU014,0.26,Box,N,8.3,Cass,Culvert,1,Concrete,3.03,11.13,3.66,94,Cass County CSAH1,Yes,0,8,10,12,12,1.445783133,-94.43555202,46.62565284,N,Concrete,Y,94,12,3.66,1.170212766,12.28,13.38
53,1208100CU009,0.5,Box,N,15,Cass,Culvert,1,Concrete,12.1,10.72,4.5,60,MN64,No,0,0,0,8,8,0.533333333,-94.70225813,46.66052142,N,Concrete,Y,60,8,4.5,5.8667,11.71,15.23
430,1212705CU001,0.64,Box,N,25,Crow Wing,Culvert,1,Concrete,21.06,11.76,4,200,Nisswa M20,Yes,4,20,20,14,14,0.56,-94.28830497,46.51410584,N,Concrete,Y,200,14,4,0.025,12.38,12.43
91,1212500CU004,0.65,Box,N,16.5,Cass,Culvert,1,Concrete,9.41,10.08,5,90,Cass County CSAH1,No,0,0,0,12,12,0.727272727,-94.45486276,46.49135359,N,Concrete,Y,90,12,5,0.344444444,10.45,10.76
372,1212200CU015,0.8,Box,N,2.7,Cass,Culvert,1,Concrete,0.87,9.05,2,55,Cass County CR114,Yes,2,10,6,3,3,1.111111111,-94.393796,46.626034,N,Concrete,Y,55,3,2,0.109090909,9.73,9.79
4,1210300CU004,1.36,Box,N,19.8,Cass,Culvert,2,Concrete,17.08,10.81,6,55,Cass County T208,No,0,0,0,19,9.5,0.47979798,-94.48518879,46.33215501,N,Concrete,Y,55,9.5,6,1.090909091,12.02,12.62
95,1213000CU001,1.5,Box,N,17.5,Crow Wing,Culvert,1,Concrete,19.16,10.47,5,72,Nisswa M16,No,0,0,0,14,14,0.8,-94.29694127,46.53043868,N,Concrete,Y,72,14,5,0.375,11.75,12.02
485,1212500CU008,1.58,Box,N,7.1,Cass,Culvert,1,Concrete,1.65,10.5,6,100,Cass County CSAH1,Yes,2,50,20,8,8,1.126760563,-94.45525764,46.52969371,N,Concrete,Y,100,8,6,0.02,12.06,12.08
371,1200100CU008,1.7,Box,N,8,Cass,Culvert,1,Concrete,5.45,7.07,3.3,34,MN64,Yes,2,10,5,6,6,0.75,-94.70236635,46.78961229,N,Concrete,Y,34,6,3.3,0.088235294,9.68,9.71
418,1212000CU005,1.96,Box,N,16,Cass,Culvert,2,Concrete,20.37,10.6,5,78,Cass County CSAH17,Yes,2,20,20,12,6,0.375,-94.39573004,46.60214368,N,Concrete,Y,78,6,5,0.461538462,12.14,12.5
469,1210800CU001,2.24,Box,N,28,Cass,Culvert,2,Concrete,36.75,11.33,7,90,Cass County CR107,Yes,3,40,40,28,14,0.5,-94.41267733,46.47357054,N,Concrete,Y,90,14,7,0.044444444,13.52,13.56
88,1210600CU003,2.3,Box,N,,Cass,Culvert,2,Concrete,0.06,9.97,6.5,50,East Gull Lake M26,No,0,0,0,16,8,NA,-94.35831124,46.39916376,N,Concrete,Y,50,8,6.5,-1.22,12.62,12.01
483,1212200CU010,2.6,Box,N,16.7,Cass,Culvert,2,Concrete,15.9,9.75,5,68,Cass County CSAH17,Yes,3,50,25,12,6,0.359281437,-94.39442273,46.60216359,N,Concrete,Y,68,6,5,0.044117647,12.25,12.28
365,1212000CU008,3.06,Box,N,14.5,Cass,Culvert,2,Concrete,17.36,12.81,8,106,Cass County CSAH1,Yes,2,8,26,20,10,0.689655172,-94.43558837,46.6126598,N,Concrete,Y,106,10,8,0.273584906,15.62,15.91
