OBJECTID,Inventory__,y,y_1,x,x_1,x_2,F__of_Culverts,Bankfull,Blownout_DS_,County,Culvert_Height,Culvert_Length,Culvert_Material,Culvert_Roadway_Name,Headloss,Headwater_elevation,Invert_DS__RL_,Invert_DS__RR_,Invert_US__RL_,Invert_US__RR_,Lateral_Scour_DS,Constriction_Ratio,RL_Culvert_Slope,RR_Culvert_Slope,Scour_Pool_DS_,Tailwater_elevation,Culvert_Width,Total_Culvert_width,Vertical_Scour__M1_,Vertical_Scour__M2_,Vertical_Scour__RL_,Vertical_Scour__RR_
6,23-0064, N 43° 35.066,43.58433333,W 091° 44.831,91.74716667,-91.74716667,1,2.033333333,NO,Fillmore,5.6,40,METAL,160ST,-0.02,9.13,X,9.68,X,9.93,0,3.737704918,X,-0.625,No,9.11,7.6,7.6,X,X,X,0.1
21,23-0166, N 43° 38.231,43.63716667,W 092° 18.554,92.30916667,-92.30916667,1,1.3,NO,Fillmore,5,52,CONCRETE,Ottertail Rd,1.35,13.93,X,15.05,X,14.32,0,3.076923077,X,1.403846154,No,15.28,4,4,X,X,X,0.8
31,23-0053, N 43° 44.506,43.74166667,W 092° 11.342,92.189,-92.189,1,2.033333333,NO,Fillmore,9,31.5,METAL,231 st,0.36,12.44,X,14.5,X,13.88,0,17.70491803,X,1.968253968,No,12.8,36,36,X,X,X,0
109,28-0046, N 43° 46.452,43.77416667,W 091° 24.376,91.40616667,-91.40616667,1,4.3,NO,Houston,12,123,CONCRETE,CR 21,0,20,X,24.3,X,23.03,0,2.790697674,X,1.032520325,No,20,12,12,X,X,X,0
122,28-0052, N 43° 47.806,43.79666667,W 091° 24.286,91.40466667,-91.40466667,1,3.7,NO,Houston,5,30,METAL,-inding Creek Rd,0.05,8.61,X,9.2,X,8.98,0,1.351351351,X,0.733333333,No,8.66,5,5,X,X,X,0.38
123,28-0112, N 43° 47.832,43.79716667,W 091° 35.276,91.58783333,-91.58783333,1,13.95,NO,Houston,8,58,CONCRETE,Doblar Rd,1.49,14.46,X,15.3,X,14.46,0,0.64516129,X,1.448275862,No,15.95,9,9,X,X,X,0
167,55-0049, N 43° 50.083,43.83466667,W 092° 32.966,92.54933333,-92.54933333,1,1.6,NO,Olmstead,6,32.5,CONCRETE,33 Ave,0.27,11.14,X,11.64,X,11.29,0,3.4375,X,1.076923077,No,11.41,5.5,5.5,X,X,X,0
168,55-0048, N 43° 50.474,43.84116667,W 092° 32.359,92.53916667,-92.53916667,1,4.95,NO,Olmstead,6,102,CONCRETE,Co Rd 6,1.65,12.82,X,15.06,X,14.73,0,2.828282828,X,0.323529412,No,14.47,14,14,X,X,X,0
177,55-0017, N 43° 52.994,43.88316667,W 092°11.648,92.194,-92.194,1,2.333333333,NO,Olmstead,8.5,71,CONCRETE,CR 136,2,11.93,X,14.35,X,14.57,0,5.785714286,X,-0.309859155,No,13.93,13.5,13.5,X,X,X,0.35
5,23-0088, N 43° 35.059,43.58416667,W 091° 50.692,91.84483333,-91.84483333,3,13.06666667,NO,Fillmore,10,83,CONCRETE,403 Ave,0.03,9.88,NA,13.8,NA,13.17,0,2.755102041,NA,0.759036145,No,9.91,12,36,0,X,0,0
